index,origi,name,is_slack,area,lat,lon,n_neighbors,nominal_voltage_kv
378,4381,36029003000,0,5,42.904,-78.806,2,138
379,4434,36029007600,0,5,43.007,-78.863,2,138
380,4437,36029007901,0,5,43.017,-78.844,2,138
381,4438,36029007902,0,5,42.997,-78.839,2,138
382,4441,36029007905,0,5,43.009,-78.836,2,138
383,4442,36029008001,0,5,42.976,-78.834,3,138
384,4445,36029008101,0,5,42.991,-78.865,2,138
385,4447,36029008201,0,5,42.99,-78.879,2,138
386,4448,36029008202,0,5,42.976,-78.88,2,138
387,4450,Indeck Yerkes Energy Center,0,5,42.975,-78.915,1,138
388,4453,36029008700,0,5,42.966,-78.875,1,138
389,4460,36029009009,0,5,43.058,-78.736,2,138
390,4461,36029009010,0,5,43.029,-78.725,3,138
391,4464,36029009107,0,5,43.038,-78.813,1,138
392,4468,36029009113,0,5,43.014,-78.753,1,138
393,4494,36029010500,0,5,42.917,-78.788,1,138
394,4496,36029010700,0,5,42.91,-78.773,3,138
395,4497,36029010803,0,5,42.901,-78.742,5,345
396,4501,36029010808,0,5,42.874,-78.747,2,138
397,4504,36029010902,0,5,42.886,-78.764,2,138
398,4506,36029011100,0,5,42.88,-78.792,1,138
399,4507,36029011200,0,5,42.855,-78.731,3,138
400,4508,36029011300,0,5,42.861,-78.781,2,138
401,4524,36029013001,0,5,42.784,-78.844,2,138
402,4526,36029013101,0,5,42.751,-78.878,2,138
403,4527,36029013102,0,5,42.721,-78.927,2,138
404,4535,36029013701,0,5,42.784,-78.771,2,138
405,4540,36029014101,0,5,42.824,-78.607,2,138
406,4541,36029014102,0,5,42.822,-78.667,2,138
407,4542,36029014204,0,5,42.904,-78.613,2,138
408,4553,36029014604,0,5,43.021,-78.674,2,138
409,4555,36029014702,0,5,42.984,-78.611,2,138
410,4556,36029014801,0,5,43.021,-78.494,2,138
411,4557,36029014803,0,5,43.019,-78.524,2,138
412,4558,36029014901,0,5,42.899,-78.495,3,138
413,4559,36029014903,0,5,42.912,-78.522,2,138
414,4560,36029014904,0,5,42.93,-78.552,2,138
415,4561,36029015001,0,5,42.825,-78.532,3,138
416,4565,36029015102,0,5,42.562,-78.55,2,138
417,4570,36029015401,0,5,42.701,-78.987,2,138
418,4571,36029015402,0,5,42.677,-78.995,2,138
419,4573,36029015503,0,5,42.631,-79.001,2,138
420,4579,36029016100,0,5,42.486,-78.932,2,138
421,4581,36029016300,0,5,42.872,-78.831,4,138
422,4588,36029017000,0,5,42.925,-78.83,3,138
423,4590,36029017200,0,5,43.017,-78.864,2,138
424,4601,36031960598,0,8,44.219,-73.994,2,138
425,4607,36031961200,0,6,43.851,-73.507,2,138
426,4629,36035970600,0,6,43.044,-74.395,1,138
427,4637,36035971400,0,6,43.004,-74.205,2,138
428,4638,36035971500,0,6,43.066,-74.151,1,138
429,4640,36037950100,0,5,43.088,-78.022,2,138
430,4642,36037950300,0,5,43.041,-78.382,3,138
431,4643,36037950400,0,5,43.001,-78.226,3,138
432,4644,36037950500,0,5,43.006,-78.2,3,138
433,4645,36037950600,0,5,43.007,-78.187,2,138
434,4646,36037950700,0,5,42.993,-78.193,2,138
