index,bus,origbus,origid,bus_type,fuel,unit_type,pmax,pmin,status,cost_startup,cost_shutdown,min_ut,min_dt,start_time,is_fs,ramping_mw_per_min,forced_outage_rate,in_contingency,reserve_qualification,dispatchable,pwlc_slope_0,pwlc_intercept_0,pwlc_slope_1,pwlc_intercept_1,pwlc_slope_2,pwlc_intercept_2,pwlc_y_0,pwlc_x_0,pwlc_y_1,pwlc_x_1,pwlc_y_2,pwlc_x_2,pwlc_y_3,pwlc_x_3
203,67,3562,2,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),55,37.8,1,0,0,2,2,4,0,4,0.03,1,1,1,1919.066667,-35.87468,1979.84,-62.33133778,2040.613333,-92.27233333,689.53252,0.378,799.5590089,0.435333333,913.0698356,0.492666667,1030.065,0.55
204,68,3563,1,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),54,20,1,0,0,0,0,1,1,54,0,1,1,1,5098.866667,1750.216667,5117,1744.534889,5135.133333,1736.798,2769.99,0.2,3347.861556,0.313333333,3927.788222,0.426666667,4509.77,0.54
205,69,3564,1,PV,ng,ST (Steam Turbine),188,15,1,0,0,2,2,4,0,4,0.03,1,1,1,2319.933333,518.06,2446.8,425.8702222,2573.666667,260.5206667,866.05,0.15,2203.878222,0.726666667,3614.866222,1.303333333,5099.014,1.88
206,69,3564,2,PV,ng,ST (Steam Turbine),188,15,1,0,0,2,2,4,0,4,0.03,1,1,1,2319.933333,518.06,2446.8,425.8702222,2573.666667,260.5206667,866.05,0.15,2203.878222,0.726666667,3614.866222,1.303333333,5099.014,1.88
207,69,3564,3,PV,ng,GT (Gas Turbine),53,37,1,0,0,2,2,1,1,4,0.03,1,1,1,1559.966667,278.1353333,1587.7,266.3948889,1615.433333,253.1753333,855.323,0.37,938.5212222,0.423333333,1023.198556,0.476666667,1109.355,0.53
208,69,3564,4,PV,ng,GT (Gas Turbine),53,37,1,0,0,2,2,1,1,4,0.03,1,1,1,1559.966667,278.1353333,1587.7,266.3948889,1615.433333,253.1753333,855.323,0.37,938.5212222,0.423333333,1023.198556,0.476666667,1109.355,0.53
209,70,3565,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),53,37,1,0,0,2,2,1,1,4,0.03,1,1,1,1559.966667,278.1353333,1587.7,266.3948889,1615.433333,253.1753333,855.323,0.37,938.5212222,0.423333333,1023.198556,0.476666667,1109.355,0.53
210,70,3565,2,PQ (Gens at Var Limit),ng,GT (Gas Turbine),53,37,1,0,0,2,2,1,1,4,0.03,1,1,1,1559.966667,278.1353333,1587.7,266.3948889,1615.433333,253.1753333,855.323,0.37,938.5212222,0.423333333,1023.198556,0.476666667,1109.355,0.53
211,71,3566,1,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),52.9,39.4,1,0,0,0,0,1,1,52.9,0,1,1,1,5124.44,1741.39272,5131.64,1738.23192,5138.84,1734.74712,3760.42208,0.394,3991.02188,0.439,4221.94568,0.484,4453.19348,0.529
212,72,3567,1,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),52.4,41.5,1,0,0,0,0,1,1,52.4,0,1,1,1,5127.106667,1740.245733,5132.92,1737.621982,5138.733333,1734.787013,3867.995,0.415,4054.279876,0.451333333,4240.775969,0.487666667,4427.48328,0.524
213,73,3568,1,PQ (Gens at Var Limit),ng,GT (Gas Turbine),50,39.9,1,0,0,2,2,1,1,4,0.03,1,1,1,1569.933333,273.97516,1587.44,266.4006089,1604.946667,258.2366667,900.37856,0.399,953.2329822,0.432666667,1006.676796,0.466333333,1060.71,0.5
214,73,3568,2,PQ (Gens at Var Limit),ng,GT (Gas Turbine),50,39.9,1,0,0,2,2,1,1,4,0.03,1,1,1,1569.933333,273.97516,1587.44,266.4006089,1604.946667,258.2366667,900.37856,0.399,953.2329822,0.432666667,1006.676796,0.466333333,1060.71,0.5
215,74,3569,1,PV,rfo,GT (Gas Turbine),50,39.9,1,0,0,0,0,1,1,50,0,1,1,1,5124.333333,1741.41928,5129.72,1739.088649,5135.106667,1736.576667,3786.02828,0.399,3958.547502,0.432666667,4131.248076,0.466333333,4304.13,0.5
216,74,3569,2,PV,rfo,GT (Gas Turbine),50,39.9,1,0,0,0,0,1,1,50,0,1,1,1,5124.333333,1741.41928,5129.72,1739.088649,5135.106667,1736.576667,3786.02828,0.399,3958.547502,0.432666667,4131.248076,0.466333333,4304.13,0.5
217,75,3570,1,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),50,40,1,0,0,2,2,1,1,4,0.03,1,1,1,1929.566667,-40.52666667,1964.9,-55.83777778,2000.233333,-72.32666667,731.3,0.4,795.6188889,0.433333333,861.1155556,0.466666667,927.79,0.5
218,75,3570,2,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),32,5,1,0,0,2,2,4,0,4,0.03,1,1,1,1588.6,47.63,1684,34.274,1779.4,12.332,127.06,0.05,270.034,0.14,421.594,0.23,581.74,0.32
219,77,3572,1,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),16.3,11,1,0,0,0,0,1,1,16.3,0,1,1,1,5954.266667,1950.695667,5957.8,1950.244578,5961.333333,1949.731067,2605.665,0.11,2710.857044,0.127666667,2816.111511,0.145333333,2921.4284,0.163
220,77,3572,2,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),16.3,11,1,0,0,0,0,1,1,16.3,0,1,1,1,5954.266667,1950.695667,5957.8,1950.244578,5961.333333,1949.731067,2605.665,0.11,2710.857044,0.127666667,2816.111511,0.145333333,2921.4284,0.163
221,77,3572,3,PQ (Gens at Var Limit),rfo,GT (Gas Turbine),16.3,11,1,0,0,0,0,1,1,16.3,0,1,1,1,5954.266667,1950.695667,5957.8,1950.244578,5961.333333,1949.731067,2605.665,0.11,2710.857044,0.127666667,2816.111511,0.145333333,2921.4284,0.163
222,78,3573,1,PQ (Gens at Var Limit),ng,CA (Combined Cycle Steam Part),25,10,1,0,0,2,2,4,0,4,0.03,1,1,1,1620.4,43.39,1673.4,35.44,1726.4,24.84,205.43,0.1,286.45,0.15,370.12,0.2,456.44,0.25
223,78,3573,2,PQ (Gens at Var Limit),ng,CT (Combined Cycle Combustion Turbine Part),48.8,16,1,0,0,2,2,1,1,4,0.03,1,1,1,1715.446667,28.50053333,1831.34,-2.713404444,1947.233333,-46.59834667,302.972,0.16,490.5275022,0.269333333,690.7540089,0.378666667,903.65152,0.488
