index,from_bus,to_bus,ckt,is_transformer,tr_ratio,x_pu,b_pu,s_max_pu,status
106,45,331,1,0,0,0.02746,36.41660597,3.25,1
107,45,334,1,0,0,0.09747,10.25956705,2.86,1
108,45,424,1,0,0,0.20128,4.968203498,2.4,1
109,46,137,1,0,0,0.0925,10.81081081,2.4,1
110,46,1670,1,0,0,0.01839,54.37737901,2.4,1
111,47,735,1,0,0,0.00418,239.2344498,2.4,1
112,47,1281,1,0,0,0.00252,396.8253968,2.4,1
113,47,1812,1,0,0,0.0001,10000,2.5,1
114,48,330,1,0,0,0.02113,47.32607667,3.07,1
115,48,332,1,0,0,0.02725,36.69724771,3.47,1
116,49,311,1,0,0,0.00322,310.5590062,2.4,1
117,49,312,1,0,0,0.02448,40.8496732,2.4,1
118,49,315,1,0,0,0.0991,10.09081736,2.4,1
119,49,316,1,0,0,0.0258,38.75968992,5.01,1
120,49,420,1,0,0,0.08353,11.97174668,2.19,1
121,49,421,1,0,0,0.09076,11.01806963,6.5,1
122,49,1808,1,0,0,0.12915,7.742934572,6.5,1
123,51,1384,1,0,0,0.0147,68.02721088,2.4,1
124,51,1390,1,0,0,0.05181,19.30129319,2.3,1
125,51,1523,1,0,0,0.06916,14.45922499,2.4,1
126,52,1414,1,0,0,0.07606,13.14751512,1.8,1
127,52,1419,1,0,0,0.11864,8.428860418,2.4,1
128,53,74,1,0,0,0.00246,406.504065,2.19,1
129,53,1474,1,0,0,0.00119,840.3361345,2.4,1
130,53,1475,1,0,0,0.008,125,2.4,1
131,53,1477,1,0,0,0.02002,49.95004995,2.4,1
132,54,565,1,0,0,0.009271,107.8632294,14.19,1
133,54,1432,1,0,0,0.0059931,166.858554,10.46,1
134,55,1341,1,0,0,0.014175,70.54673721,7.36,1
135,56,1376,1,0,0,0.01112,89.92805755,2.38,1
136,56,1377,1,0,0,0.03777,26.47603918,2.4,1
137,57,437,1,0,0,0.00242,413.2231405,2.4,1
138,57,682,1,0,0,0.0647,15.45595054,2.19,1
139,58,982,1,0,0,0.0084,119.047619,2.4,1
140,58,983,1,0,0,0.00118,847.4576271,2.38,1
141,59,942,1,0,0,0.00266,375.9398496,2.3,1
142,59,943,1,0,0,0.023,43.47826087,2.4,1
143,60,104,1,0,0,0.02367,42.24757076,2.4,1
144,60,744,1,0,0,0.00222,450.4504505,2.4,1
145,61,1656,1,0,0,0.00276,362.3188406,2.86,1
146,61,1661,1,0,0,0.01044,95.78544061,2.4,1
147,62,1767,1,0,0,0.02233,44.7828034,2.19,1
148,62,1768,1,0,0,0.00636,157.2327044,3,1
149,62,1769,1,0,0,0.00181,552.4861878,2.05,1
150,64,1454,1,0,0,0.01119,89.36550492,4.91,1
151,64,1476,1,0,0,0.00064163,1558.530617,4.35,1
152,65,1416,1,0,0,0.12829,7.794839816,2.4,1
153,66,79,1,0,0,0.0063316,157.937962,7.36,1
154,66,395,1,0,0,0.0078465,127.4453578,9.98,1
155,67,720,1,0,0,0.00601,166.3893511,2.4,1
156,67,722,1,0,0,0.00344,290.6976744,2.4,1
157,67,725,1,0,0,0.00548,182.4817518,2.4,1
158,68,1483,1,0,0,0.08087,12.36552492,2.84,1
159,69,1450,1,0,0,0.018794,53.20847079,5.28,1
160,1691,69,1,0,0,0.018705,53.46164127,7.31,1
161,70,693,1,0,0,0.00965,103.626943,2.4,1
162,70,749,1,0,0,0.00253,395.256917,2.19,1
163,70,1592,1,0,0,0.03965,25.22068096,2.19,1
164,71,1482,1,0,0,0.02397,41.71881519,2.4,1
165,72,1444,1,0,0,0.01889,52.93806247,2.4,1
166,73,1439,1,0,0,0.00868,115.2073733,2.4,1
167,74,1483,1,0,0,0.0415,24.09638554,2.19,1
168,75,1444,1,0,0,0.00886,112.8668172,2.4,1
169,76,1399,1,0,0,0.01017,98.32841691,7.36,1
170,77,461,1,0,0,0.00093,1075.268817,2.4,1
171,77,769,1,0,0,0.00086,1162.790698,2.4,1
172,78,949,1,0,0,0.00645,155.0387597,2.4,1
173,78,953,1,0,0,0.003,333.3333333,2.4,1
174,78,990,1,0,0,0.00543,184.1620626,2.19,1
175,79,395,1,0,0,0.011846,84.41668074,7.36,1
176,80,309,1,0,0,0.00654,152.9051988,2.4,1
177,80,315,1,0,0,0.0199,50.25125628,2.05,1
178,81,1382,1,0,0,0.01632,61.2745098,2.4,1
179,81,1386,1,0,0,0.02353,42.49893753,2.4,1
180,82,1073,1,0,0,0.00172,581.3953488,2.93,1
181,82,1074,1,0,0,0.00125,800,2.19,1
182,83,471,1,0,0,0.00359,278.551532,2.4,1
183,84,85,1,0,0,0.00139,719.4244604,2.4,1
184,84,152,1,0,0,0.00511,195.6947162,2.84,1
185,1720,84,1,0,0,0.00291,343.6426117,2.61,1
186,84,1740,1,0,0,0.00387,258.3979328,2.4,1
187,85,142,1,0,0,0.00239,418.4100418,2.05,1
188,86,591,1,0,0,0.0014,714.2857143,2.4,1
189,87,1299,1,0,0,0.00035,2857.142857,5.67,1
190,87,1302,1,0,0,0.00165,606.0606061,5.23,1
191,88,132,1,0,0,0.00981,101.9367992,2.4,1
192,88,1298,1,0,0,0.00621,161.0305958,2.05,1
193,89,1468,1,0,0,0.00397,251.8891688,2.4,1
194,89,1470,1,0,0,0.00243,411.5226337,2.4,1
195,89,1785,1,0,0,0.04341,23.03616678,2.19,1
196,90,1360,1,0,0,0.00949,105.374078,2.38,1
197,90,1361,1,0,0,0.01388,72.04610951,2.19,1
198,90,1364,1,0,0,0.00464,215.5172414,2.4,1
199,90,1687,1,0,0,0.03272,30.56234719,4.18,1
200,91,299,1,0,0,0.00346,289.017341,3.07,1
201,91,1689,1,0,0,0.04809,20.79434394,2.84,1
202,92,425,1,0,0,0.02563,39.01677721,2.4,1
203,93,137,1,0,0,0.08748,11.43118427,1.8,1
204,94,325,1,0,0,0.063303,15.79703963,8.68,1
205,94,1020,1,0,0,0.002835,352.7336861,9.7,1
206,95,453,1,0,0,0.05261,19.0077932,2.05,1
207,96,958,1,0,0,0.01274,78.49293564,2.4,1
208,96,964,1,0,0,0.00412,242.7184466,2.4,1
209,96,998,1,0,0,0.00876,114.1552511,2.4,1
210,97,1414,1,0,0,0.03628,27.56339581,1.8,1
211,98,815,1,0,0,0.00071,1408.450704,2.86,1
212,98,815,2,0,0,0.00071,1408.450704,2.86,1
213,98,818,1,0,0,0.00054,1851.851852,2.4,1
214,99,1382,1,0,0,0.01445,69.20415225,2.4,1
215,100,934,1,0,0,0.05833,17.14383679,2.05,1
216,100,1037,1,0,0,0.02965,33.72681282,2.4,1
217,101,1383,1,0,0,0.06674,14.98351813,1.8,1
218,101,1385,1,0,0,0.04615,21.66847237,1.8,1
219,101,1523,1,0,0,0.0618,16.18122977,2.4,1
220,102,644,1,0,0,0.02856,35.0140056,2.4,1
221,102,645,1,0,0,0.02585,38.68471954,2.4,1
222,103,640,1,0,0,0.01498,66.75567423,3.81,1
223,103,946,1,0,0,0.16412,6.093102608,2.86,1
224,103,946,2,0,0,0.16412,6.093102608,2.86,1
225,104,739,1,0,0,0.00688,145.3488372,2.4,1
226,104,740,1,0,0,0.0008,1250,2.4,1
227,105,1378,1,0,0,0.00514,194.5525292,2.4,1
228,106,334,1,0,0,0.19018,5.258176464,2.19,1
229,106,1381,1,0,0,0.06815,14.67351431,6.5,1
230,106,1737,1,0,0,0.08331,12.00336094,2.4,1
231,107,1485,1,0,0,0.0052995,188.6970469,10.23,1
232,107,1486,1,0,0,0.0026999,370.3840883,9.46,1
233,108,1738,1,0,0,0.0237,42.19409283,1.8,1
234,109,905,1,0,0,0.01024,97.65625,3.07,1
235,109,906,1,0,0,0.00231,432.9004329,2.4,1
236,110,1384,1,0,0,0.00247,404.8582996,1.8,1
237,111,1377,1,0,0,0.09303,10.74922068,2.4,1
238,111,1379,1,0,0,0.06356,15.73316551,2.4,1
239,111,1738,1,0,0,0.24987,4.002081082,1.8,1
240,112,1354,1,0,0,0.00357,280.1120448,2.4,1
241,112,1365,1,0,0,0.00253,395.256917,2.4,1
242,113,1385,1,0,0,0.02404,41.59733777,1.8,1
243,114,460,1,0,0,0.00066,1515.151515,5.01,1
244,114,462,1,0,0,0.00093,1075.268817,6.14,1
245,114,532,1,0,0,0.01782,56.11672278,2.84,1
246,114,1747,1,0,0,0.00219,456.6210046,4.76,1
247,1790,115,1,0,0,0.00785,127.388535,2.4,1
248,116,445,1,0,0,0.0217,46.08294931,2.4,1
249,117,1380,1,0,0,0.0187,53.47593583,1.8,1
250,118,459,1,0,0,0.00027439,3644.447684,12.51,1
251,118,798,1,0,0,0.0036896,271.0320902,10.46,1
252,119,904,1,0,0,0.00841,118.9060642,2.05,1
253,119,905,1,0,0,0.00996,100.4016064,2.4,1
254,909,119,1,0,0,0.04421,22.6193169,2.4,1
255,120,121,1,0,0,0.00335,298.5074627,2.4,1
256,120,127,1,0,0,0.00663,150.8295626,2.4,1
257,121,1776,1,0,0,0.00869,115.0747986,2.4,1
258,122,124,1,0,0,0.00643,155.5209953,2.4,1
259,1716,123,1,0,0,0.00388,257.7319588,2.19,1
260,123,1776,1,0,0,0.00339,294.9852507,2.4,1
261,123,1784,1,0,0,0.05646,17.71165427,2.4,1
262,1716,124,1,0,0,0.00309,323.6245955,3.07,1
263,125,126,1,0,0,0.01089,91.82736455,2.4,1
264,125,1784,1,0,0,0.02993,33.41129302,2.4,1
265,128,130,1,0,0,0.00694,144.092219,2.4,1
266,128,1784,1,0,0,0.02396,41.73622705,2.4,1
267,129,135,1,0,0,0.00867,115.3402537,2.4,1
268,129,1784,1,0,0,0.02057,48.61448712,2.4,1
269,131,136,1,0,0,0.03013,33.18951211,2.4,1
270,1706,131,1,0,0,0.00973,102.7749229,2.4,1
271,132,1297,1,0,0,0.01397,71.58196135,2.4,1
